"locale_id","city","state","temperature","feels_like"
3760,"Paulo De Faria","SP","27.0","24.0"
3783,"Piracicaba","SP","22.0","22.0"
3782,"Piracaia","SP","20.0","20.0"
3765,"Pedreira","SP","23.0","23.0"
3789,"Pirassununga","SP","23.0","23.0"
3768,"Penápolis","SP","23.0","23.0"
3785,"Piraju","SP","23.0","23.0"
3770,"Pereiras","SP","21.0","21.0"
3790,"Piratininga","SP","22.0","22.0"
3786,"Pirangi","SP","23.0","23.0"
3771,"Peruíbe","SP","23.0","23.0"
3794,"Platina","SP","22.0","22.0"
3776,"Pilar Do Sul","SP","18.0","18.0"
3792,"Pitangueiras","SP","25.0","25.0"
3774,"Picinguaba","SP","24.0","24.0"
3795,"Poá","SP","19.0","19.0"
3781,"Piquete","SP","19.0","19.0"
3797,"Pompéia","SP","22.0","22.0"
3798,"Pongaí","SP","21.0","21.0"
3800,"Pontal","SP","22.0","22.0"
3784,"Pirajuí","SP","20.0","20.0"
3801,"Pontes Gestal","SP","27.0","28.0"
3788,"Pirapozinho","SP","25.0","25.0"
3806,"Potim","SP","20.0","20.0"
3805,"Porto Ferreira","SP","23.0","23.0"
3787,"Pirapora Do Bom Jesus","SP","21.0","21.0"
3803,"Porangaba","SP","21.0","21.0"
3793,"Planalto","SP","24.0","24.0"
3810,"Ipauçu","SP","23.0","23.0"
3811,"Iperó","SP","21.0","21.0"
3808,"Pracinha","SP","25.0","25.0"
3813,"Ipiguá","SP","24.0","24.0"
3812,"Ipeúna","SP","23.0","23.0"
3796,"Poloni","SP","25.0","25.0"
3815,"Ipuã","SP","23.0","23.0"
3814,"Iporanga","SP","22.0","22.0"
3799,"Pontalinda","SP","27.0","28.0"
3818,"Irapuru","SP","26.0","27.0"
3804,"Porto Feliz","SP","22.0","22.0"
3802,"Populina","SP","27.0","28.0"
3821,"Itajobi","SP","22.0","22.0"
3824,"Itaóca","SP","22.0","22.0"
3822,"Itaju","SP","22.0","22.0"
3827,"Itapeva","SP","20.0","20.0"
3825,"Itapecerica Da Serra","SP","18.0","18.0"
3809,"Pradópolis","SP","22.0","22.0"
3828,"Itapevi","SP","20.0","20.0"
3829,"Itapirapuã Paulista","SP","19.0","19.0"
3831,"Itápolis","SP","22.0","22.0"
3830,"Itapira","SP","23.0","23.0"
3833,"Itapuí","SP","21.0","21.0"
3816,"Iracemápolis","SP","23.0","23.0"
3836,"Itararé","SP","21.0","21.0"
3835,"Itaquaquecetuba","SP","19.0","19.0"
3817,"Irapuã","SP","23.0","23.0"
3840,"Itirapina","SP","21.0","21.0"
3839,"Itatinga","SP","20.0","20.0"
3841,"Itirapuã","SP","23.0","23.0"
3807,"Potirendaba","SP","23.0","23.0"
3837,"Itariri","SP","21.0","21.0"
3838,"Itatiba","SP","22.0","22.0"
3819,"Itaberá","SP","21.0","21.0"
3820,"Itaí","SP","22.0","22.0"
3823,"Itanhaém","SP","22.0","22.0"
3844,"Itupeva","SP","21.0","21.0"
3845,"Itu","SP","22.0","22.0"
3826,"Itapetininga","SP","21.0","21.0"
3846,"Ituverava","SP","25.0","25.0"
3832,"Itaporanga","SP","20.0","20.0"
3852,"Jacupiranga","SP","23.0","23.0"
3854,"Jaguariúna","SP","23.0","23.0"
3850,"Jacaré","SP","21.0","21.0"
3855,"São João Nepomuceno","MG","24.0","24.0"
3853,"Crixás","GO","27.0","28.0"
3866,"Jaú","SP","22.0","22.0"
3859,"Itarantim","BA","23.0","23.0"
3834,"Itapura","SP","26.0","27.0"
3842,"Itobi","SP","24.0","24.0"
3843,"Itororó Do Paranapanem","SP","26.0","26.0"
3864,"Jarinu","SP","20.0","20.0"
3867,"Jeriquara","SP","23.0","23.0"
3847,"Jaborandi","SP","26.0","26.0"
3848,"Jaboticabal","SP","23.0","23.0"
3851,"Jaci","SP","24.0","24.0"
3869,"Joanópolis","SP","18.0","18.0"
3849,"Jacareí","SP","20.0","20.0"
3856,"Jales","SP","27.0","27.0"
3870,"Palmas De Monte Alto","BA","25.0","25.0"
3868,"Ibiassucê","BA","23.0","23.0"
3857,"Jambeiro","SP","18.0","18.0"
3873,"José Bonifácio","SP","24.0","24.0"
3858,"Andaraí","BA","22.0","22.0"
3861,"Jandira","SP","20.0","20.0"
