"locale_id","city","state","temperature","feels_like","latitude","longitude"
3429,"Paraíso Do Tocantins","TO","23.0","23.0","-10.2","-48.9"
3430,"Pau D'Arco","TO","26.0","28.0","-7.5","-49.4"
3434,"Pindorama Do Tocantins","TO","24.0","24.0","-11.1","-47.6"
3428,"Palmeirópolis","TO","25.0","25.0","-13.0","-48.4"
3436,"Pium","TO","25.0","25.0","-10.4","-49.2"
3432,"Peixe","TO","25.0","25.0","-12.0","-48.5"
3435,"Piraquê","TO","26.0","28.0","-6.8","-48.3"
3433,"Pequizeiro","TO","24.0","24.0","-8.6","-48.9"
3437,"Ponte Alta Do Bom Jesus","TO","25.0","25.0","-12.1","-46.5"
3440,"Praia Norte","TO","25.0","25.0","-5.4","-47.8"
3438,"Ponte Alta Do Tocantins","TO","25.0","25.0","-10.7","-47.5"
3426,"Porto Alegre Do Tocantins","TO","25.0","25.0","-11.6","-47.1"
3439,"Porto Nacional","TO","25.0","25.0","-10.7","-48.4"
3441,"Presidente Kennedy","TO","23.0","23.0","-8.5","-48.5"
3443,"Recursolândia","TO","24.0","24.0","-8.7","-47.2"
3442,"Pugmil","TO","24.0","24.0","-10.4","-48.9"
3448,"Rio Sono","TO","23.0","23.0","-9.3","-47.9"
3449,"Sampaio","TO","25.0","25.0","-5.3","-47.9"
3445,"Riachinho","TO","26.0","28.0","-6.4","-48.1"
3444,"Capitão Enéas","MG","24.0","24.0","-16.3","-43.7"
3447,"Rio Dos Bois","TO","24.0","24.0","-9.3","-48.5"
3450,"Sandolândia","TO","28.0","30.0","-12.5","-49.9"
3451,"Santa Maria Do Tocantins","TO","23.0","23.0","-8.8","-47.8"
3446,"Rio Da Conceição","TO","24.0","24.0","-11.4","-46.9"
3454,"Santa Tereza Do Tocantins","TO","25.0","25.0","-10.3","-47.8"
3453,"Santa Rosa Do Tocantins","TO","25.0","25.0","-11.4","-48.1"
3452,"Santa Rita Do Tocantins","TO","25.0","25.0","-10.9","-48.9"
3455,"Santa Terezinha Do Tocantins","TO","25.0","25.0","-6.4","-47.7"
3456,"São Bento Do Tocantins","TO","25.0","25.0","-6.0","-47.9"
3458,"São Miguel Do Tocantins","TO","25.0","25.0","-5.6","-47.6"
3461,"São Valério Da Natividade","TO","25.0","25.0","-12.0","-48.2"
3460,"São Sebastião Do Tocantins","TO","26.0","27.0","-5.3","-48.2"
3457,"São Félix Do Tocantins","TO","24.0","24.0","-10.2","-46.7"
3464,"Sítio Novo Do Tocantins","TO","24.0","24.0","-5.6","-47.6"
3463,"Enéas Marques","PR","23.0","23.0","-25.9","-53.2"
3465,"Sucupira","TO","25.0","25.0","-12.0","-49.0"
3462,"Silvanópolis","TO","25.0","25.0","-11.1","-48.2"
3459,"São Salvador Do Tocantins","TO","25.0","25.0","-12.7","-48.2"
3466,"Taguatinga","TO","25.0","25.0","-12.4","-46.4"
3468,"Talismã","TO","27.0","29.0","-12.8","-49.1"
3467,"Taipas Do Tocantins","TO","25.0","25.0","-12.2","-47.0"
